2023-02-24 12:43:21,084 INFO    Thread-15 :14540 [wandb_setup.py:_flush():68] Configure stats pid to 14540
2023-02-24 12:43:21,085 INFO    Thread-15 :14540 [wandb_setup.py:_flush():68] Loading settings from C:\Users\student\.config\wandb\settings
2023-02-24 12:43:21,085 INFO    Thread-15 :14540 [wandb_setup.py:_flush():68] Loading settings from c:\Users\student\Desktop\Daniel og Sayna\Bachelor\Code\notebooks\pyTorch\wandb\settings
2023-02-24 12:43:21,085 INFO    Thread-15 :14540 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'project': 'test', 'entity': 'g13hvl2023', 'root_dir': 'c:\\Users\\student\\Desktop\\Daniel og Sayna\\Bachelor\\Code\\notebooks\\pyTorch', 'run_id': 'muirldr7', 'sweep_param_path': 'c:\\Users\\student\\Desktop\\Daniel og Sayna\\Bachelor\\Code\\notebooks\\pyTorch\\wandb\\sweep-7s3jw54t\\config-muirldr7.yaml', 'sweep_id': '7s3jw54t'}
2023-02-24 12:43:21,085 INFO    Thread-15 :14540 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-02-24 12:43:21,085 INFO    Thread-15 :14540 [wandb_init.py:_log_setup():492] Logging user logs to c:\Users\student\Desktop\Daniel og Sayna\Bachelor\Code\notebooks\pyTorch\wandb\run-20230224_124321-muirldr7\logs\debug.log
2023-02-24 12:43:21,086 INFO    Thread-15 :14540 [wandb_init.py:_log_setup():493] Logging internal logs to c:\Users\student\Desktop\Daniel og Sayna\Bachelor\Code\notebooks\pyTorch\wandb\run-20230224_124321-muirldr7\logs\debug-internal.log
2023-02-24 12:43:21,086 INFO    Thread-15 :14540 [wandb_init.py:_jupyter_setup():438] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x0000017695389850>
2023-02-24 12:43:21,086 INFO    Thread-15 :14540 [wandb_init.py:init():532] calling init triggers
2023-02-24 12:43:21,086 INFO    Thread-15 :14540 [wandb_init.py:init():538] wandb.init called with sweep_config: {'learning_rate': 0.05}
config: {}
2023-02-24 12:43:21,086 INFO    Thread-15 :14540 [wandb_init.py:init():588] starting backend
2023-02-24 12:43:21,086 INFO    Thread-15 :14540 [wandb_init.py:init():592] setting up manager
2023-02-24 12:43:21,095 INFO    Thread-15 :14540 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-02-24 12:43:21,103 INFO    Thread-15 :14540 [wandb_init.py:init():599] backend started and connected
2023-02-24 12:43:21,111 INFO    Thread-15 :14540 [wandb_run.py:_config_callback():1250] config_cb None None {'learning_rate': 0.05}
2023-02-24 12:43:21,112 INFO    Thread-15 :14540 [wandb_run.py:_label_probe_notebook():1203] probe notebook
2023-02-24 12:43:21,112 INFO    Thread-15 :14540 [wandb_run.py:_label_probe_notebook():1213] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-02-24 12:43:21,112 INFO    Thread-15 :14540 [wandb_init.py:init():687] updated telemetry
2023-02-24 12:43:21,165 INFO    Thread-15 :14540 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-02-24 12:43:21,733 INFO    Thread-15 :14540 [wandb_run.py:_on_init():2134] communicating current version
2023-02-24 12:43:21,857 INFO    Thread-15 :14540 [wandb_run.py:_on_init():2143] got version response 
2023-02-24 12:43:21,857 INFO    Thread-15 :14540 [wandb_init.py:init():775] starting run threads in backend
2023-02-24 12:43:22,037 INFO    Thread-15 :14540 [wandb_run.py:_console_start():2114] atexit reg
2023-02-24 12:43:22,037 INFO    Thread-15 :14540 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-02-24 12:43:22,037 INFO    Thread-15 :14540 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-02-24 12:43:22,037 INFO    Thread-15 :14540 [wandb_run.py:_redirect():2059] Redirects installed.
2023-02-24 12:43:22,038 INFO    Thread-15 :14540 [wandb_init.py:init():817] run started, returning control to user process
2023-02-24 12:43:22,053 INFO    Thread-15 :14540 [wandb_watch.py:watch():51] Watching
