2023-03-21 14:31:57,918 INFO    Thread-12 :8180 [wandb_setup.py:_flush():68] Configure stats pid to 8180
2023-03-21 14:31:57,919 INFO    Thread-12 :8180 [wandb_setup.py:_flush():68] Loading settings from C:\Users\student\.config\wandb\settings
2023-03-21 14:31:57,919 INFO    Thread-12 :8180 [wandb_setup.py:_flush():68] Loading settings from c:\Users\student\Desktop\Daniel og Sayna\Bachelor\Code\notebooks\pyTorch\wandb\settings
2023-03-21 14:31:57,919 INFO    Thread-12 :8180 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'project': 'CNN_Sweep', 'entity': 'g13hvl2023', 'root_dir': 'c:\\Users\\student\\Desktop\\Daniel og Sayna\\Bachelor\\Code\\notebooks\\pyTorch', 'run_id': '9uehknlr', 'sweep_param_path': 'c:\\Users\\student\\Desktop\\Daniel og Sayna\\Bachelor\\Code\\notebooks\\pyTorch\\wandb\\sweep-ndpeurnx\\config-9uehknlr.yaml', 'sweep_id': 'ndpeurnx'}
2023-03-21 14:31:57,919 INFO    Thread-12 :8180 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-03-21 14:31:57,919 INFO    Thread-12 :8180 [wandb_init.py:_log_setup():492] Logging user logs to c:\Users\student\Desktop\Daniel og Sayna\Bachelor\Code\notebooks\pyTorch\wandb\run-20230321_143157-9uehknlr\logs\debug.log
2023-03-21 14:31:57,920 INFO    Thread-12 :8180 [wandb_init.py:_log_setup():493] Logging internal logs to c:\Users\student\Desktop\Daniel og Sayna\Bachelor\Code\notebooks\pyTorch\wandb\run-20230321_143157-9uehknlr\logs\debug-internal.log
2023-03-21 14:31:57,920 INFO    Thread-12 :8180 [wandb_init.py:_jupyter_setup():438] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x0000026FBEC7AD00>
2023-03-21 14:31:57,920 INFO    Thread-12 :8180 [wandb_init.py:init():532] calling init triggers
2023-03-21 14:31:57,920 INFO    Thread-12 :8180 [wandb_init.py:init():538] wandb.init called with sweep_config: {'batch_size': 50, 'dropout': 0, 'epoch': 10, 'gamma': 1, 'learning_rate': 0.01, 'loss': 'zeroOne', 'optimizer': 'adam'}
config: {}
2023-03-21 14:31:57,920 INFO    Thread-12 :8180 [wandb_init.py:init():588] starting backend
2023-03-21 14:31:57,920 INFO    Thread-12 :8180 [wandb_init.py:init():592] setting up manager
