2023-04-16 12:14:54,180 INFO    Thread-12 :19912 [wandb_setup.py:_flush():68] Configure stats pid to 19912
2023-04-16 12:14:54,181 INFO    Thread-12 :19912 [wandb_setup.py:_flush():68] Loading settings from C:\Users\student\.config\wandb\settings
2023-04-16 12:14:54,181 INFO    Thread-12 :19912 [wandb_setup.py:_flush():68] Loading settings from c:\Users\student\Desktop\Daniel og Sayna\Bachelor\Code\notebooks\pyTorch\wandb\settings
2023-04-16 12:14:54,181 INFO    Thread-12 :19912 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'project': 'Sweep', 'entity': 'g13hvl2023', 'root_dir': 'c:\\Users\\student\\Desktop\\Daniel og Sayna\\Bachelor\\Code\\notebooks\\pyTorch', 'run_id': 'qkaay1ar', 'sweep_param_path': 'c:\\Users\\student\\Desktop\\Daniel og Sayna\\Bachelor\\Code\\notebooks\\pyTorch\\wandb\\sweep-bb7rj3wp\\config-qkaay1ar.yaml', 'sweep_id': 'bb7rj3wp'}
2023-04-16 12:14:54,181 INFO    Thread-12 :19912 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-04-16 12:14:54,181 INFO    Thread-12 :19912 [wandb_init.py:_log_setup():492] Logging user logs to c:\Users\student\Desktop\Daniel og Sayna\Bachelor\Code\notebooks\pyTorch\wandb\run-20230416_121454-qkaay1ar\logs\debug.log
2023-04-16 12:14:54,182 INFO    Thread-12 :19912 [wandb_init.py:_log_setup():493] Logging internal logs to c:\Users\student\Desktop\Daniel og Sayna\Bachelor\Code\notebooks\pyTorch\wandb\run-20230416_121454-qkaay1ar\logs\debug-internal.log
2023-04-16 12:14:54,182 INFO    Thread-12 :19912 [wandb_init.py:_jupyter_setup():438] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x00000253C93C2D90>
2023-04-16 12:14:54,182 INFO    Thread-12 :19912 [wandb_init.py:init():532] calling init triggers
2023-04-16 12:14:54,182 INFO    Thread-12 :19912 [wandb_init.py:init():538] wandb.init called with sweep_config: {'batch_size': 50, 'dropout': 0, 'epoch': 30, 'gamma': 1, 'learning_rate': 0.01, 'loss': 'cross', 'model': 'cnn', 'optimizer': 'sgd'}
config: {}
2023-04-16 12:14:54,183 INFO    Thread-12 :19912 [wandb_init.py:init():588] starting backend
2023-04-16 12:14:54,183 INFO    Thread-12 :19912 [wandb_init.py:init():592] setting up manager
2023-04-16 12:14:54,193 INFO    Thread-12 :19912 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-04-16 12:14:54,202 INFO    Thread-12 :19912 [wandb_init.py:init():599] backend started and connected
2023-04-16 12:14:54,218 INFO    Thread-12 :19912 [wandb_run.py:_config_callback():1250] config_cb None None {'batch_size': 50, 'dropout': 0, 'epoch': 30, 'gamma': 1, 'learning_rate': 0.01, 'loss': 'cross', 'model': 'cnn', 'optimizer': 'sgd'}
2023-04-16 12:14:54,219 INFO    Thread-12 :19912 [wandb_run.py:_label_probe_notebook():1203] probe notebook
2023-04-16 12:14:54,219 INFO    Thread-12 :19912 [wandb_run.py:_label_probe_notebook():1213] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-04-16 12:14:54,219 INFO    Thread-12 :19912 [wandb_init.py:init():687] updated telemetry
2023-04-16 12:14:54,276 INFO    Thread-12 :19912 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-04-16 12:14:54,738 INFO    Thread-12 :19912 [wandb_run.py:_on_init():2134] communicating current version
2023-04-16 12:14:54,872 INFO    Thread-12 :19912 [wandb_run.py:_on_init():2143] got version response upgrade_message: "wandb version 0.14.2 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-04-16 12:14:54,872 INFO    Thread-12 :19912 [wandb_init.py:init():775] starting run threads in backend
2023-04-16 12:14:55,055 INFO    Thread-12 :19912 [wandb_run.py:_console_start():2114] atexit reg
2023-04-16 12:14:55,055 INFO    Thread-12 :19912 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-04-16 12:14:55,055 INFO    Thread-12 :19912 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-04-16 12:14:55,055 INFO    Thread-12 :19912 [wandb_run.py:_redirect():2059] Redirects installed.
2023-04-16 12:14:55,056 INFO    Thread-12 :19912 [wandb_init.py:init():817] run started, returning control to user process
2023-04-16 12:14:55,080 INFO    Thread-12 :19912 [wandb_watch.py:watch():51] Watching
2023-04-16 12:24:47,250 INFO    Thread-12 :19912 [wandb_run.py:_finish():1854] finishing run g13hvl2023/Sweep/qkaay1ar
2023-04-16 12:24:47,250 INFO    Thread-12 :19912 [jupyter.py:save_history():449] not saving jupyter history
2023-04-16 12:24:47,250 INFO    Thread-12 :19912 [jupyter.py:save_ipynb():379] not saving jupyter notebook
2023-04-16 12:24:47,250 INFO    Thread-12 :19912 [wandb_init.py:_jupyter_teardown():420] cleaning up jupyter logic
2023-04-16 12:24:47,251 INFO    Thread-12 :19912 [wandb_run.py:_atexit_cleanup():2083] got exitcode: 0
2023-04-16 12:24:47,251 INFO    Thread-12 :19912 [wandb_run.py:_restore():2066] restore
2023-04-16 12:24:47,251 INFO    Thread-12 :19912 [wandb_run.py:_restore():2072] restore done
2023-04-16 12:24:51,263 INFO    Thread-12 :19912 [wandb_run.py:_footer_history_summary_info():3442] rendering history
2023-04-16 12:24:51,265 INFO    Thread-12 :19912 [wandb_run.py:_footer_history_summary_info():3474] rendering summary
2023-04-16 12:24:51,270 INFO    Thread-12 :19912 [wandb_run.py:_footer_sync_info():3398] logging synced files
